1
exp/gaea_Peru.json;1248
ARGS
exp/gaea_Peru.json
using the following metadata file:
exp/gaea_Peru.json
number of jobs submitted:
1248
numjob = 1192, jobid = 1192, nphotons = 100000, cosz = -0.7, simulation time = 27.088338565826415 minutes
numjob = 1178, jobid = 1178, nphotons = 100000, cosz = -0.4, simulation time = 27.090027856826783 minutes
numjob = 1171, jobid = 1171, nphotons = 100000, cosz = -0.25, simulation time = 27.114314874013264 minutes
numjob = 1205, jobid = 1205, nphotons = 100000, cosz = -0.85, simulation time = 27.149178795019786 minutes
numjob = 1223, jobid = 1223, nphotons = 100000, cosz = -0.85, simulation time = 27.163440012931822 minutes
numjob = 1186, jobid = 1186, nphotons = 100000, cosz = -0.7, simulation time = 27.249525610605875 minutes
numjob = 1199, jobid = 1199, nphotons = 100000, cosz = -0.85, simulation time = 27.25361236333847 minutes
numjob = 1211, jobid = 1211, nphotons = 100000, cosz = -0.85, simulation time = 27.259008212884268 minutes
numjob = 1217, jobid = 1217, nphotons = 100000, cosz = -0.85, simulation time = 27.26335626443227 minutes
numjob = 1179, jobid = 1179, nphotons = 100000, cosz = -0.55, simulation time = 27.28873354991277 minutes
numjob = 1158, jobid = 1158, nphotons = 100000, cosz = -0.1, simulation time = 27.334652737776437 minutes
numjob = 1198, jobid = 1198, nphotons = 100000, cosz = -0.7, simulation time = 27.3390323638916 minutes
numjob = 1193, jobid = 1193, nphotons = 100000, cosz = -0.85, simulation time = 27.460116930802663 minutes
numjob = 1180, jobid = 1180, nphotons = 100000, cosz = -0.7, simulation time = 27.50769570271174 minutes
numjob = 1181, jobid = 1181, nphotons = 100000, cosz = -0.85, simulation time = 27.594590683778126 minutes
numjob = 1172, jobid = 1172, nphotons = 100000, cosz = -0.4, simulation time = 27.61520703236262 minutes
numjob = 1187, jobid = 1187, nphotons = 100000, cosz = -0.85, simulation time = 27.616649854183198 minutes
numjob = 1168, jobid = 1168, nphotons = 100000, cosz = -0.7, simulation time = 27.640354148546855 minutes
numjob = 1175, jobid = 1175, nphotons = 100000, cosz = -0.85, simulation time = 27.73397858540217 minutes
numjob = 1157, jobid = 1157, nphotons = 100000, cosz = -0.85, simulation time = 27.73729929526647 minutes
numjob = 1174, jobid = 1174, nphotons = 100000, cosz = -0.7, simulation time = 27.76514796813329 minutes
numjob = 1169, jobid = 1169, nphotons = 100000, cosz = -0.85, simulation time = 27.79581688642502 minutes
numjob = 1173, jobid = 1173, nphotons = 100000, cosz = -0.55, simulation time = 27.84775852362315 minutes
numjob = 1165, jobid = 1165, nphotons = 100000, cosz = -0.25, simulation time = 27.932745361328124 minutes
numjob = 1156, jobid = 1156, nphotons = 100000, cosz = -0.7, simulation time = 27.94152222077052 minutes
numjob = 1163, jobid = 1163, nphotons = 100000, cosz = -0.85, simulation time = 27.99790238936742 minutes
numjob = 1162, jobid = 1162, nphotons = 100000, cosz = -0.7, simulation time = 28.160447824001313 minutes
numjob = 1160, jobid = 1160, nphotons = 100000, cosz = -0.4, simulation time = 28.16793561776479 minutes
numjob = 1167, jobid = 1167, nphotons = 100000, cosz = -0.55, simulation time = 28.17705231110255 minutes
numjob = 1161, jobid = 1161, nphotons = 100000, cosz = -0.55, simulation time = 28.24897299607595 minutes
numjob = 1155, jobid = 1155, nphotons = 100000, cosz = -0.55, simulation time = 28.338149829705557 minutes
numjob = 1154, jobid = 1154, nphotons = 100000, cosz = -0.4, simulation time = 28.442740241686504 minutes
numjob = 1166, jobid = 1166, nphotons = 100000, cosz = -0.4, simulation time = 28.467357540130614 minutes
numjob = 1159, jobid = 1159, nphotons = 100000, cosz = -0.25, simulation time = 28.68336619536082 minutes
numjob = 1153, jobid = 1153, nphotons = 100000, cosz = -0.25, simulation time = 28.862683459122977 minutes
numjob = 1152, jobid = 1152, nphotons = 100000, cosz = -0.1, simulation time = 29.188982331752776 minutes
