1
exp/gaea_Peru_recoverjobs.json;643
ARGS
exp/gaea_Peru_recoverjobs.json
using the following metadata file:
exp/gaea_Peru_recoverjobs.json
number of jobs submitted:
643
numjob = 195, jobid = 258, nphotons = 100, cosz = -0.55, simulation time = 0.9859809398651123 minutes
numjob = 373, jobid = 556, nphotons = 100, cosz = -0.7, simulation time = 0.9857551534970601 minutes
numjob = 471, jobid = 704, nphotons = 100, cosz = -0.7, simulation time = 0.9857107917467753 minutes
numjob = 532, jobid = 813, nphotons = 100, cosz = -0.25, simulation time = 0.9861833890279134 minutes
numjob = 248, jobid = 328, nphotons = 100, cosz = -0.55, simulation time = 0.9859490831693013 minutes
numjob = 204, jobid = 267, nphotons = 100, cosz = -0.7, simulation time = 0.9862572391827901 minutes
numjob = 242, jobid = 322, nphotons = 100, cosz = -0.4, simulation time = 0.986106808980306 minutes
numjob = 593, jobid = 900, nphotons = 100, cosz = -0.55, simulation time = 0.9862213095029195 minutes
numjob = 380, jobid = 589, nphotons = 100, cosz = -0.25, simulation time = 0.9860833843549093 minutes
numjob = 93, jobid = 115, nphotons = 100, cosz = -0.55, simulation time = 0.986470095316569 minutes
numjob = 440, jobid = 673, nphotons = 100, cosz = -0.4, simulation time = 0.9860654830932617 minutes
numjob = 150, jobid = 195, nphotons = 100, cosz = -0.7, simulation time = 0.9858731985092163 minutes
numjob = 498, jobid = 755, nphotons = 100, cosz = -0.4, simulation time = 0.9855041742324829 minutes
numjob = 633, jobid = 973, nphotons = 100, cosz = -0.55, simulation time = 0.9863389293352763 minutes
numjob = 420, jobid = 629, nphotons = 100, cosz = -0.7, simulation time = 0.9866445660591125 minutes
numjob = 620, jobid = 960, nphotons = 100, cosz = -0.4, simulation time = 0.9865043520927429 minutes
numjob = 228, jobid = 308, nphotons = 100, cosz = -0.25, simulation time = 0.9866758426030476 minutes
numjob = 563, jobid = 846, nphotons = 100, cosz = -0.7, simulation time = 0.9867010354995728 minutes
numjob = 608, jobid = 917, nphotons = 100, cosz = -0.7, simulation time = 0.9866342544555664 minutes
numjob = 13, jobid = 13, nphotons = 100, cosz = -0.25, simulation time = 0.9868358771006266 minutes
numjob = 222, jobid = 302, nphotons = 100, cosz = -0.25, simulation time = 0.9867024223009745 minutes
numjob = 509, jobid = 766, nphotons = 100, cosz = -0.55, simulation time = 0.9867251118024191 minutes
numjob = 549, jobid = 830, nphotons = 100, cosz = -0.55, simulation time = 0.9868888179461162 minutes
numjob = 184, jobid = 247, nphotons = 100, cosz = -0.4, simulation time = 0.9868953267733256 minutes
numjob = 565, jobid = 850, nphotons = 100, cosz = -0.7, simulation time = 0.9871299386024475 minutes
numjob = 601, jobid = 908, nphotons = 100, cosz = -0.55, simulation time = 0.9871250271797181 minutes
numjob = 387, jobid = 596, nphotons = 100, cosz = -0.25, simulation time = 0.9870696187019348 minutes
numjob = 551, jobid = 832, nphotons = 100, cosz = -0.55, simulation time = 0.9872246702512105 minutes
numjob = 370, jobid = 552, nphotons = 100, cosz = -0.7, simulation time = 0.9871557712554931 minutes
numjob = 413, jobid = 622, nphotons = 100, cosz = -0.55, simulation time = 0.9872321407000224 minutes
numjob = 508, jobid = 765, nphotons = 100, cosz = -0.55, simulation time = 0.9872863213221232 minutes
numjob = 33, jobid = 33, nphotons = 100, cosz = -0.4, simulation time = 0.9875373601913452 minutes
numjob = 476, jobid = 733, nphotons = 100, cosz = -0.25, simulation time = 0.9874676068623861 minutes
numjob = 397, jobid = 606, nphotons = 100, cosz = -0.4, simulation time = 0.9874932726224264 minutes
numjob = 300, jobid = 449, nphotons = 100, cosz = -0.25, simulation time = 0.9874656637509663 minutes
numjob = 288, jobid = 403, nphotons = 100, cosz = -0.55, simulation time = 0.9873820344607035 minutes
numjob = 435, jobid = 668, nphotons = 100, cosz = -0.25, simulation time = 0.9873669068018596 minutes
numjob = 27, jobid = 27, nphotons = 100, cosz = -0.4, simulation time = 0.9876730879147847 minutes
numjob = 136, jobid = 180, nphotons = 100, cosz = -0.55, simulation time = 0.9877326091130575 minutes
numjob = 603, jobid = 910, nphotons = 100, cosz = -0.55, simulation time = 0.9875649293263753 minutes
numjob = 554, jobid = 835, nphotons = 100, cosz = -0.55, simulation time = 0.98752814133962 minutes
numjob = 132, jobid = 176, nphotons = 100, cosz = -0.4, simulation time = 0.9877193689346313 minutes
numjob = 456, jobid = 689, nphotons = 100, cosz = -0.55, simulation time = 0.9874651789665222 minutes
numjob = 474, jobid = 710, nphotons = 100, cosz = -0.85, simulation time = 0.9868645270665487 minutes
numjob = 450, jobid = 683, nphotons = 100, cosz = -0.4, simulation time = 0.9876031716664632 minutes
numjob = 174, jobid = 237, nphotons = 100, cosz = -0.25, simulation time = 0.9875982999801636 minutes
numjob = 414, jobid = 623, nphotons = 100, cosz = -0.55, simulation time = 0.9877349098523458 minutes
numjob = 592, jobid = 899, nphotons = 100, cosz = -0.4, simulation time = 0.9878284056981405 minutes
numjob = 46, jobid = 46, nphotons = 100, cosz = -0.55, simulation time = 0.9880641142527262 minutes
numjob = 137, jobid = 181, nphotons = 100, cosz = -0.55, simulation time = 0.9881739656130473 minutes
numjob = 638, jobid = 980, nphotons = 100, cosz = -0.55, simulation time = 0.9879485130310058 minutes
numjob = 589, jobid = 896, nphotons = 100, cosz = -0.4, simulation time = 0.9881685018539429 minutes
numjob = 36, jobid = 36, nphotons = 100, cosz = -0.55, simulation time = 0.9882312496503194 minutes
numjob = 40, jobid = 40, nphotons = 100, cosz = -0.55, simulation time = 0.98827699025472 minutes
numjob = 521, jobid = 779, nphotons = 100, cosz = -0.7, simulation time = 0.9883366743723552 minutes
numjob = 283, jobid = 398, nphotons = 100, cosz = -0.55, simulation time = 0.9881447116533916 minutes
numjob = 151, jobid = 201, nphotons = 100, cosz = -0.7, simulation time = 0.9881423950195313 minutes
numjob = 527, jobid = 808, nphotons = 100, cosz = -0.25, simulation time = 0.9883604884147644 minutes
numjob = 251, jobid = 331, nphotons = 100, cosz = -0.55, simulation time = 0.9881731510162354 minutes
numjob = 47, jobid = 47, nphotons = 100, cosz = -0.55, simulation time = 0.9882940928141276 minutes
numjob = 244, jobid = 324, nphotons = 100, cosz = -0.55, simulation time = 0.9882925550142924 minutes
numjob = 510, jobid = 767, nphotons = 100, cosz = -0.55, simulation time = 0.9883822719256083 minutes
numjob = 586, jobid = 893, nphotons = 100, cosz = -0.4, simulation time = 0.9881788571675618 minutes
numjob = 553, jobid = 834, nphotons = 100, cosz = -0.55, simulation time = 0.9875737071037293 minutes
numjob = 245, jobid = 325, nphotons = 100, cosz = -0.55, simulation time = 0.988407552242279 minutes
numjob = 309, jobid = 458, nphotons = 100, cosz = -0.4, simulation time = 0.988410762945811 minutes
numjob = 516, jobid = 773, nphotons = 100, cosz = -0.7, simulation time = 0.98851611216863 minutes
